Player,MIN,PTS,TR,AS,TO
Paul Millsap,20.8,9,4.7,1.8,0.91
Patty Mills,24.8,10.8,1.7,2.4,0.96
Shake Milton,23.2,13,2.3,3.1,1.63
Donovan Mitchell,33.4,26.4,4.4,5.2,2.77
Adam Mokoka,4,1.1,0.4,0.4,0.36
Malik Monk,20.9,11.7,2.4,2.1,1.31
E'Twaun Moore,14.4,4.9,1.7,1.5,0.85
Ja Morant,32.6,19.1,4,7.4,3.22
Juwan Morgan,5.1,1.2,1,0.3,0.14
Marcus Morris Sr.,26.3,13.4,4.1,1,1
Markieff Morris,19.7,6.7,4.4,1.2,0.89
Monte Morris,25.5,10.2,2,3.2,0.72
Mychal Mulder,12.8,5.6,1,0.4,0.27
Dejounte Murray,31.9,15.7,7.1,5.4,1.75
Jamal Murray,35.5,21.2,4,4.8,2.23
Mike Muscala,18.4,9.7,3.8,0.8,0.6
Svi Mykhailiuk,17.6,6.9,2.1,1.6,1.08
Svi Mykhailiuk,23,10.3,3,1.8,1.63
Abdel Nader,14.8,6.7,2.6,0.8,0.79
Larry Nance Jr.,31.2,9.3,6.7,3.1,1.57
Aaron Nesmith,14.5,4.7,2.8,0.5,0.5
Raul Neto,21.9,8.7,2.4,2.3,0.83
Georges Niang,16,6.9,2.4,0.8,0.71
Zeke Nnaji,9.5,3.3,1.6,0.2,0.17
Nerlens Noel,24.2,5.1,6.4,0.7,1.02
Jaylen Nowell,18.1,9,2.3,1.5,0.67
Frank Ntilikina,9.8,2.7,0.9,0.6,0.33
James Nunnally,5.3,1.7,1,0.3,0.22
Kendrick Nunn,29.5,14.6,3.2,2.6,1.43
Jusuf Nurkic,23.8,11.5,9,3.4,1.97
David Nwaba,22.6,9.2,3.9,1,0.57
Jordan Nwora,9.1,5.7,2,0.2,0.8
Semi Ojeleye,17,4.6,2.6,0.7,0.38
Jahlil Okafor,12.9,5.4,2.4,0.5,0.78
Chuma Okeke,25.2,7.8,4,2.2,0.84
Josh Okogie,20.3,5.4,2.6,1.1,0.73
Onyeka Okongwu,12,4.6,3.3,0.4,0.58
Isaac Okoro,32.4,9.6,3.1,1.9,1.28
KZ Okpala,12.1,2.5,1.8,0.5,0.41
Victor Oladipo,33.3,20,5.7,4.2,2
Victor Oladipo,33.5,21.2,4.8,5,2.55
Victor Oladipo,27.8,12,3.5,3.5,3.5
Cameron Oliver,21.9,10.8,5.3,1.3,0.75
Kelly Olynyk,26.9,10,6.1,2.1,1.28
Kelly Olynyk,31.1,19,8.4,4.1,2.63
Royce O'Neale,31.6,7,6.8,2.5,1.17
Miye Oni,9.6,1.9,1.6,0.5,0.3
Cedi Osman,25.6,10.4,3.4,2.9,1.36
Daniel Oturu,5.4,1.8,1.6,0.3,0.3
Kelly Oubre Jr.,30.7,15.4,6,1.3,1.27
Jabari Parker,9.1,2.7,2,0.3,1
Jabari Parker,13.8,6.4,3.6,1,0.7
Eric Paschall,17.4,9.5,3.2,1.3,1.08
Anzejs Pasecniks,6.3,0,1,1,5
Patrick Patterson,15.3,5.2,2,0.8,0.29
Justin Patton,19,5.4,3.8,1.1,0.31
Chris Paul,31.4,16.4,4.4,8.9,2.23
Cameron Payne,18,8.4,2.4,3.6,1
Gary Payton II,4,2.5,1.1,0.1,0.1
Elfrid Payton,23.6,10.1,3.4,3.2,1.63
Norvel Pelle,9.3,2,2.3,0,1
Norvel Pelle,3.8,3,1,1,0
Norvel Pelle,5.8,1.2,1.2,0.1,0
Reggie Perry,8.1,3,2.8,0.5,0.58
Theo Pinson,2,0.1,0.3,0.1,0.06
Mason Plumlee,26.8,10.4,9.3,3.6,1.88
Jakob Poeltl,26.7,8.6,7.9,1.9,1.22
Vincent Poirier,3.9,0.8,1.3,0.2,0.3
Aleksej Pokusevski,24.2,8.2,4.7,2.2,2.2
Jordan Poole,19.4,12,1.8,1.9,1
Kevin Porter Jr.,32.1,16.6,3.8,6.3,3.5
Michael Porter Jr.,31.3,19,7.3,1.1,1.28
Otto Porter Jr.,21.6,9.9,5.5,2,1
Otto Porter Jr.,22.2,8,4.7,1.7,0
Jontay Porter,4.9,2,1.3,0.1,0.64
Bobby Portis,20.8,11.4,7.1,1.1,0.85
Kristaps Porzingis,30.9,20.1,8.9,1.6,1.19
Dwight Powell,16.6,5.9,4.1,1.1,0.69
Norman Powell,30.4,19.6,3,1.8,1.83
Norman Powell,34.4,17,3.3,1.9,1.59
Taurean Prince,18.2,8.1,2.8,0.6,0.92
Taurean Prince,23.7,10.1,3.7,2.4,1.24
Payton Pritchard,19.2,7.7,2.4,1.8,0.8
Immanuel Quickley,19.4,11.4,2.1,2,0.91
Jahmi'us Ramsey,7.3,3.1,0.8,0.5,0.23
Chasson Randle,20.4,6.5,2,1.8,1.12
Julius Randle,37.6,24.1,10.2,6,3.38
Cam Reddish,28.9,11.2,4,1.3,1.31
JJ Redick,18.6,8.7,1.7,1.3,0.81
JJ Redick,11.3,4.4,0.9,0.8,0.85
Paul Reed,6.8,3.4,2.3,0.5,0.46
Naz Reid,19.2,11.2,4.6,1,0.99
Cameron Reynolds,2.1,0.7,0,0,0
Cameron Reynolds,17.2,6.5,2.5,1,0
Nick Richards,3.5,0.8,0.6,0.1,0.17
Josh Richardson,30.3,12.1,3.3,2.6,1.34
Grant Riller,3.9,2.6,0.1,0.4,0.14
Austin Rivers,21.1,7.3,2.2,2,1.05
Austin Rivers,26.9,8.7,2.3,2.6,0.93
Andre Roberson,12.6,1.2,3,0.8,0.4
Glenn Robinson III,16.1,5.3,2,0.9,0.48
Duncan Robinson,31.4,13.1,3.5,1.8,1.13
Jerome Robinson,17.9,4.9,2.2,1.5,1.12
